DATE,gdp
2007-08-01,957531.554347826
2007-09-01,962081.9836956522
2007-10-01,966485.625
2007-11-01,967853.4157608695
2007-12-01,969177.0842391305
2008-01-01,970544.875
2008-02-01,974581.4326923077
2008-03-01,978357.5673076923
2008-04-01,982394.125
2008-05-01,983167.9436813187
2008-06-01,983967.5563186813
2008-07-01,984741.375
2008-08-01,982852.5441576086
2008-09-01,980963.7133152174
2008-10-01,979135.8125
2008-11-01,974003.648777174
2008-12-01,969037.038722826
2009-01-01,963904.875
2009-02-01,962765.3881944445
2009-03-01,961736.1743055555
2009-04-01,960596.6875
2009-05-01,961331.0899725275
2009-06-01,962089.9725274725
2009-07-01,962824.375
2009-08-01,964988.2255434783
2009-09-01,967152.0760869565
2009-10-01,969246.125
2009-11-01,973056.5978260869
2009-12-01,976744.1521739131
2010-01-01,980554.625
2010-02-01,983389.7041666667
2010-03-01,985950.4208333333
2010-04-01,988785.5
2010-05-01,991687.4642857143
2010-06-01,994686.1607142857
2010-07-01,997588.125
2010-08-01,1000716.8926630435
2010-09-01,1003845.6603260869
2010-10-01,1006873.5
2010-11-01,1010214.6557391305
2010-12-01,1013448.0322608695
2011-01-01,1016789.188
2011-02-01,1018749.2921666666
2011-03-01,1020519.7088333333
2011-04-01,1022479.813
2011-05-01,1023874.5861868132
2011-06-01,1025315.8518131868
2011-07-01,1026710.625
2011-08-01,1029077.2603586956
2011-09-01,1031443.8957173913
2011-10-01,1033734.188
2011-11-01,1035708.6268586956
2011-12-01,1037619.3741413043
2012-01-01,1039593.813
2012-02-01,1042550.0121758241
2012-03-01,1045315.4888241758
2012-04-01,1048271.688
2012-05-01,1049676.680967033
2012-06-01,1051128.507032967
2012-07-01,1052533.5
2012-08-01,1054225.0217391304
2012-09-01,1055916.543478261
2012-10-01,1057553.5
2012-11-01,1060318.8179347827
2012-12-01,1062994.9320652173
2013-01-01,1065760.25
2013-02-01,1068430.4694444444
2013-03-01,1070842.2805555556
2013-04-01,1073512.5
2013-05-01,1075191.5934065934
2013-06-01,1076926.6565934066
2013-07-01,1078605.75
2013-08-01,1080562.3722826086
2013-09-01,1082518.9945652173
2013-10-01,1084412.5
2013-11-01,1083908.4972826086
2013-12-01,1083420.7527173914
2014-01-01,1082916.75
2014-02-01,1084388.9055555556
2014-03-01,1085718.5944444444
2014-04-01,1087190.75
2014-05-01,1088913.195054945
2014-06-01,1090693.054945055
2014-07-01,1092415.5
2014-08-01,1095171.7201086956
2014-09-01,1097927.9402173914
2014-10-01,1100595.25
2014-11-01,1103274.0964673914
2014-12-01,1105866.5285326086
2015-01-01,1108545.375
2015-02-01,1105321.7194444444
2015-03-01,1102410.0305555556
2015-04-01,1099186.375
2015-05-01,1100818.572802198
2015-06-01,1102505.177197802
2015-07-01,1104137.375
2015-08-01,1105750.0489130435
2015-09-01,1107362.722826087
2015-10-01,1108923.375
2015-11-01,1109815.9307065217
2015-12-01,1110679.6942934783
