"capital_index","gdp_yoy","inflation","bank_rate","cred_cs_yoy","cred_hs_yoy","sa_us_10yr"
3.3,1.76775758012457,5.743741,5.75,13.9869929825503,3.53435726477613,5.517
3.3,2.05368528210315,5.441176,5.75,12.4154148088907,3.58259204582918,5.706
4.3,2.33905993569063,4.525548,5.75,13.225488477338,3.41005843238165,5.581
4.3,1.92577324929886,4.190752,5.75,12.6206836181177,3.26869948360073,5.534
4.3,1.51186272043482,4.136947,5.75,12.8614547559351,3.56347578823382,5.775
4.3,1.09732338185662,4.539007,5.75,13.9649894007574,3.28025587506495,5.902
4.3,1.08728720721842,4.384724,5.75,13.2791061391986,3.19332931706491,5.875
4.3,1.07728208187723,4.654443,5.75,10.3500651295533,3.47774250943509,5.975
4.3,1.06730786191864,4.615385,6,10.7579163092588,3.53785566202678,5.865
4.3,0.962411393436824,4.46304,6,10.8040187431225,4.08957349259129,6.1
